Name,Email,Wallet Address,Action,Amount (XLM),Stellar Explorer Hash,User Feedback (Rating: 5/5)
"Kian Das","kian.das674@gmail.com","GF3NG4D2QOG6O32J6FBVW7XVSANJBHFFAZ4U4SKZ7RSYWGT57IGH45EU","Settled Balance","169.92","741ce7b59c744fea38ed5a1576133c85b7f0d89383a0d0dde05cad178b644e24","Incredible speed and low fees. The UI is clean. I wish I could download a summary of the group's expenses. A CSV export feature would be a fantastic addition for professional use cases."
"Atharva Rajput","atharva.rajput35@gmail.com","GYRKMOZ3J5MBRQVRNMZ5KGVVRAGA4EK4FN3OJGTRSTZRFEZGZ2V22P5Q","Add Expense","131.83","93bc8f6ab2171d4c3c93dbb781fcfaef3c766518ff3d7141845bcd2359c3f209","SplitPay is really fast! Settled our apartment bills in seconds. I think adding a direct shareable link for the group would help my roommates join faster without having to copy-paste the long group ID manually."
"Advik Das","advik.das379@gmail.com","GRI7T4NIJFAK7CBNKLEPYZKWDMR4OFSY3CQBCCNXAIC4SCPFUD3R7HDL","Created Group","80.04","7b58b87720ef9b3a8b026a3d0d73bb38ab57005ddefdd44682e02b91ae190dd2","The UI is very intuitive and modern. I had some trouble explaining to my friend how to join the group. A 'Copy Invite Link' button would solve this completely and make onboarding friction-free."
"Aadya Jain","aadya.jain862@gmail.com","GVS45OV4IJW4N4OAOVGX53EKL4MJOM52TKHUTVQAHLZTLWX5RLCDDP7N","Joined Group","109.06","1a58a6fcf7b2f54edae7413c4ef9805591d9b57c59080762c0e663b9e1eb75bc","Great concept for cross-border payments! The transaction speed on Stellar is amazing compared to Ethereum. I would give it 5 stars if there was a way to download my payment history for tax purposes. An export feature is a must."
"Ishaan Banerjee","ishaan.banerjee371@gmail.com","GCQMTVIZYVSZKQZCDWLW633ZCK7OYYZVW6ZA43MGT2COMHSNPNKCZRFQ","Created Group","74.19","6df33b091c60d025e0c274f6b7d231db7fd62bb32f0a7e2db81d710278c722e7","Fantastic execution of a real-world problem on the blockchain. I would highly recommend adding a CSV export option so users can keep personal records of their settlements."
"Riya Mehta","riya.mehta697@gmail.com","GYUVUUZ2I26TCT2GERVW2IBUEKOQFKI7SBKDZ3RJRML2TKEO4JAUS5LU","Add Expense","205.59","bbc19bd37afc9ffa678b19e7ce5a3d0e5512186a00bdbd89c883a4c23f6129b3","Very cool use of Soroban smart contracts. The debt simplification algorithm actually works really well. It reduced our 15 transactions to just 3! Would love to see an 'Export to CSV' button next so I can balance my own spreadsheets."
"Sneha Nair","sneha.nair582@gmail.com","GPGCFD7633D2WXU6LDYWFZHC4TJDUFIK73QRYCB4UX5IPAWFQCZ55P2M","Joined Group","125.06","98b31b0775a49f1a3e215de20cf196e22a0b339f66572ad62e796297ba8d4cf9","Love using native XLM for settlements. Fast and cheap. I run a small startup and we use this for shared expenses. An 'Export to CSV' feature would make accounting so much easier for us."
"Ira Nair","ira.nair503@gmail.com","GH2QAD7WX7NZVXR6F77BKE5L66IGH5XVZGNOSE2UVNUJKTANDFMNN2RW","Settled Balance","62.74","8d49ef621e5726a47d0c4316985b530b17839e9cf31fcdebafc15fd0d940f971","Very cool use of Soroban smart contracts. The debt simplification algorithm actually works really well. It reduced our 15 transactions to just 3! Would love to see an 'Export to CSV' button next so I can balance my own spreadsheets."
"Meera Chopra","meera.chopra300@gmail.com","GNTJLYALLWQMCPGXLQ43LAWB2A2TNWDN2YCSXYVHOFTK3EZWPUQYMIXI","Add Expense","189.09","3de60b056b60b645fe3a7b33db3ff1eeefdaa7666eaaed3d19ab7d5a2bcc8be5","I absolutely love the simplicity of the app. Connecting my Freighter wallet was seamless. However, I struggled initially to figure out how to invite others to the group. A simple 'Share Invite Link' button on the group page would make a huge difference in onboarding."
"Arjun Iyer","arjun.iyer818@gmail.com","GZO7RPIQ3KYXMSZ6BK6SUOPT7OVX447A54LMH4GGLS4AGFRKQDY2HMPC","Created Group","48.98","2b95b65ad272b8675cb734c9e9f02c25353a358a88635e6da522af30b31cf1d3","The UI is very intuitive and modern. I had some trouble explaining to my friend how to join the group. A 'Copy Invite Link' button would solve this completely and make onboarding friction-free."
"Muskan Amin","muskan.amin110@gmail.com","GC5K3HAKCXN3WIOLQLPFDBUDKSYX5GK57I676MROS3RG6CHYVPSPYXHE","Joined Group","183.85","810835877fc4107bb8ae32f754715fec5699a35cb2bf43598b32dbdc4eddcb00","I absolutely love the simplicity of the app. Connecting my Freighter wallet was seamless. However, I struggled initially to figure out how to invite others to the group. A simple 'Share Invite Link' button on the group page would make a huge difference in onboarding."
"Shruti Shetty","shruti.shetty90@gmail.com","GD4L7JQNLFFC4BLVRXTI3GR4KHHLC34UM32JF2LQZWMO76D3TVPIEZUZ","Joined Group","26.74","56a8a39dd31dabc3630bf509d120435aeba62bfb074387ec036585cafa70d260","We use SplitPay for our monthly college expenses. It's so much better than Venmo for international students! An export function to CSV would be the cherry on top."
"Aryan Chopra","aryan.chopra568@gmail.com","GR2XQSXJRVPQCQ3CWUH5OTAH25B7PHKRABHKEIZHBQUPWUHNLTXFMKVJ","Created Group","152.24","4c9ac09a8d3b752596a41ccd835b2712c7945d5523c5b62712812385d1724a35","Using it for my remote team's shared software subscriptions. Works great, but onboarding non-crypto people is slightly hard. If there was a 'Copy Invite Link' feature that just sent them directly to the join page, that would be perfect."
